,mac,zone,floor,strength,ssid
74,50:17:ff:de:19:40,11.0,9.0,-66.0,bmstu_lb
267,50:17:ff:df:58:69,11.0,8.0,-62.0,bmstu_guest
300,50:17:ff:df:58:69,11.0,8.0,-62.0,bmstu_guest
335,50:17:ff:de:19:40,11.0,8.0,-66.0,bmstu_lb
364,50:17:ff:df:58:61,11.0,7.0,-63.0,bmstu_staff
386,50:17:ff:df:58:66,11.0,7.0,-51.0,bmstu_guest
413,38:2c:4a:a2:e3:e0,11.0,7.0,-57.0,Kafedra SM10
438,d4:ca:6d:0c:2f:ba,11.0,6.0,-46.0,nii_isu_dep1
455,00:26:52:d8:7e:e9,11.0,6.0,-55.0,bmstu_guest
477,00:26:52:d8:7e:e9,11.0,6.0,-62.0,bmstu_guest
243,38:2c:4a:a2:e3:e0,11.0,9.0,-73.0,Kafedra SM10
0,50:17:ff:de:19:41,11.0,9.0,-51.0,bmstu_staff
25,50:17:ff:de:19:4f,11.0,9.0,-55.0,bmstu_lb
49,50:17:ff:de:19:46,11.0,9.0,-55.0,bmstu_guest
127,00:26:52:d8:6e:70,11.0,10.0,-53.0,bmstu_lb
190,50:17:ff:de:19:41,11.0,9.0,-80.0,bmstu_staff
97,00:26:52:d8:6e:79,11.0,10.0,-53.0,bmstu_guest
157,74:4d:28:4a:e5:74,11.0,10.0,-61.0,dsplab
209,50:17:ff:df:58:69,11.0,9.0,-64.0,bmstu_guest
878,58:ac:78:eb:e6:ef,4.0,2.0,-61.0,bmstu_student
898,58:ac:78:eb:e6:e2,4.0,2.0,-62.0,bmstu_staff
916,e4:18:6b:5a:f1:84,3.0,2.0,-60.0,
2340,00:26:52:d8:89:99,12.0,3.0,-58.0,bmstu_guest
2361,00:26:52:d8:89:99,12.0,3.0,-58.0,bmstu_guest
2382,00:26:52:d8:89:91,12.0,3.0,-48.0,bmstu_staff
2395,00:26:52:d8:89:99,12.0,3.0,-55.0,bmstu_guest
2415,00:26:52:d8:89:99,12.0,3.0,-71.0,bmstu_guest
2442,80:e0:1d:d8:00:51,15.0,3.0,-53.0,bmstu_guest
2807,58:ac:78:eb:e7:ce,13.0,3.0,-64.0,bmstu_guest
3443,50:17:ff:de:06:e0,12.0,4.0,-65.0,bmstu_lb
1158,84:16:f9:d5:76:01,2.0,2.0,-68.0,TP-LINK_7601
1175,d8:47:32:44:c1:9a,2.0,2.0,-64.0,
1792,00:22:55:57:51:80,9.0,3.0,-59.0,bmstu_staff
1807,3c:84:6a:ab:2b:4e,9.0,3.0,-76.0,363b
1821,3c:84:6a:ab:2b:4e,9.0,3.0,-70.0,363b
1842,6c:3b:6b:ff:59:b7,9.0,3.0,-73.0,IU4-net
1867,50:17:ff:15:ff:21,9.0,3.0,-75.0,bmstu_staff
1886,fc:8b:97:8e:ba:60,9.0,3.0,-67.0,354a
1909,50:17:ff:15:ff:20,9.0,3.0,-77.0,bmstu_lb
1926,3c:84:6a:ab:2b:4e,9.0,3.0,-72.0,363b
4211,00:26:52:d8:86:30,10.0,5.0,-62.0,bmstu_lb
1939,3c:84:6a:ab:2b:4e,9.0,3.0,-68.0,363b
1949,3c:84:6a:ab:2b:4e,9.0,3.0,-75.0,363b
1963,50:c7:bf:87:29:66,9.0,3.0,-62.0,
4078,00:26:52:d8:84:71,9.0,5.0,-75.0,bmstu_staff
2845,58:ac:78:eb:e7:c1,13.0,3.0,-56.0,bmstu_guest
2878,94:0c:6d:c4:1c:f2,13.0,4.0,-64.0,
2896,90:e6:ba:d3:5b:8c,13.0,4.0,-62.0,401-au
2929,90:e6:ba:d3:5b:8c,13.0,4.0,-52.0,401-au
2965,90:e6:ba:d3:5b:8c,13.0,4.0,-52.0,401-au
3372,00:3a:9a:ad:91:40,12.0,4.0,-70.0,bmstu_lb
1746,00:26:52:d8:7b:d9,14.0,3.0,-74.0,bmstu_guest
1758,00:26:52:d8:7b:d9,14.0,3.0,-60.0,bmstu_guest
1772,00:22:55:57:51:80,14.0,3.0,-59.0,bmstu_staff
2014,00:22:55:57:51:80,14.0,3.0,-74.0,bmstu_staff
2025,00:26:52:d8:7b:d1,14.0,3.0,-75.0,bmstu_staff
3807,00:26:52:d8:7b:d0,14.0,4.0,-65.0,bmstu_lb
3818,00:26:52:d8:7b:d1,14.0,4.0,-51.0,bmstu_staff
3836,00:26:52:d8:7b:d1,14.0,4.0,-49.0,bmstu_staff
3856,00:26:52:d8:7b:d1,14.0,4.0,-49.0,bmstu_staff
3877,00:26:52:d8:7b:d1,14.0,4.0,-61.0,bmstu_staff
3894,50:c7:bf:87:29:6a,9.0,4.0,-74.0,
3912,50:c7:bf:87:29:6a,9.0,4.0,-74.0,
4094,00:26:52:d8:7b:d0,14.0,5.0,-64.0,bmstu_lb
4111,00:26:52:d8:7b:d1,14.0,5.0,-56.0,bmstu_staff
4120,00:26:52:d8:7b:d1,14.0,5.0,-56.0,bmstu_staff
4130,00:26:52:d8:7b:d0,14.0,5.0,-76.0,bmstu_lb
205,c0:25:5c:82:1d:b1,10.0,2.0,-71.0,bmstu_staff
222,c0:25:5c:82:1d:b9,10.0,2.0,-76.0,bmstu_guest
1691,00:26:52:d8:7e:b9,10.0,3.0,-67.0,bmstu_guest
1735,00:26:52:d8:7b:d9,14.0,3.0,-76.0,bmstu_guest
2044,c0:4a:00:82:65:f0,14.0,3.0,-83.0,TP-LINK_8265F0
2066,00:26:52:d8:7e:b1,10.0,3.0,-57.0,bmstu_staff
3217,00:03:7f:fe:00:00,15.0,4.0,-66.0,mba-411u
3280,50:17:ff:de:08:26,15.0,4.0,-60.0,bmstu_guest
3313,50:17:ff:de:08:26,15.0,4.0,-60.0,bmstu_guest
3345,00:3a:9a:ad:91:40,12.0,4.0,-62.0,bmstu_lb
3406,50:17:ff:de:06:e1,12.0,4.0,-67.0,bmstu_staff
3478,b0:b2:dc:a8:81:40,12.0,4.0,-59.0,
3692,00:26:52:d8:7e:b9,10.0,4.0,-73.0,bmstu_guest
3707,00:26:52:d8:7e:b0,10.0,4.0,-60.0,bmstu_lb
3724,00:26:52:d8:7e:b0,10.0,4.0,-79.0,bmstu_lb
3742,00:26:52:d8:7e:b0,10.0,4.0,-79.0,bmstu_lb
3760,e4:18:6b:0a:f6:e2,10.0,4.0,-76.0,
3774,e4:18:6b:0a:f6:e2,14.0,4.0,-76.0,
4104,00:26:52:d8:7b:d1,14.0,5.0,-61.0,bmstu_staff
4140,04:d4:c4:c2:1e:50,14.0,5.0,-78.0,
4172,00:26:52:d8:86:30,14.0,5.0,-75.0,bmstu_lb
4180,00:26:52:d8:86:39,10.0,5.0,-69.0,bmstu_guest
4186,00:26:52:d8:86:31,10.0,5.0,-64.0,bmstu_staff
4228,00:26:52:d8:86:31,10.0,5.0,-69.0,bmstu_staff
4421,50:17:ff:de:06:e1,12.0,5.0,-76.0,bmstu_staff
172,c0:25:5c:82:1d:b9,10.0,2.0,-45.0,bmstu_guest
187,c0:25:5c:82:1d:b1,10.0,2.0,-60.0,bmstu_staff
392,c0:25:5c:82:1d:b1,10.0,2.0,-60.0,bmstu_staff
408,c0:25:5c:82:1d:b1,10.0,2.0,-60.0,bmstu_staff
426,c0:25:5c:82:1d:b0,10.0,2.0,-53.0,bmstu_lb
444,c0:25:5c:82:1d:bf,10.0,2.0,-57.0,bmstu_lb
1573,5c:f4:ab:ce:c1:d8,10.0,3.0,-66.0,Keenetic-0409
1645,00:26:52:d8:7e:b0,10.0,3.0,-55.0,bmstu_lb
1666,00:26:52:d8:7e:b1,10.0,3.0,-49.0,bmstu_staff
2083,e4:18:6b:01:93:62,10.0,3.0,-60.0,
1473,50:ff:20:39:ce:ed,4.0,2.0,-57.0,Keenetic-2054
1494,52:ff:20:49:ce:ed,4.0,2.0,-71.0,
4364,00:26:52:d8:74:99,11.0,5.0,-66.0,bmstu_guest
4393,00:26:52:d8:74:90,11.0,5.0,-66.0,bmstu_lb
3001,7c:95:f3:85:78:c9,13.0,4.0,-56.0,bmstu_guest
4310,00:26:52:d8:74:91,11.0,5.0,-60.0,bmstu_staff
4338,00:26:52:d8:74:91,11.0,5.0,-72.0,bmstu_staff
2646,80:e0:1d:d7:ff:30,13.0,3.0,-57.0,bmstu_student
2688,58:ac:78:eb:e7:c2,13.0,3.0,-64.0,bmstu_staff
3039,c0:25:5c:82:68:d9,13.0,4.0,-61.0,bmstu_guest
3077,50:17:ff:df:89:a9,13.0,4.0,-59.0,bmstu_guest
3116,50:17:ff:df:89:a1,15.0,4.0,-67.0,bmstu_staff
3148,50:17:ff:df:89:a1,15.0,4.0,-67.0,bmstu_staff
1708,00:26:52:d8:7e:b1,14.0,3.0,-72.0,bmstu_staff
3621,00:26:52:d8:82:21,11.0,4.0,-75.0,bmstu_staff
4248,e4:18:6b:0a:f6:e2,10.0,5.0,-64.0,
4255,38:6b:1c:10:0b:70,11.0,5.0,-60.0,BIO
4274,38:6b:1c:10:0b:70,11.0,5.0,-55.0,BIO
4293,00:26:52:d8:74:91,11.0,5.0,-65.0,bmstu_staff
4198,00:26:52:d8:86:31,10.0,5.0,-51.0,bmstu_staff
4240,00:26:52:d8:86:31,10.0,5.0,-78.0,bmstu_staff
262,00:22:55:57:51:80,14.0,2.0,-69.0,bmstu_staff
270,00:22:55:57:51:80,14.0,2.0,-68.0,bmstu_staff
278,00:22:55:57:51:80,14.0,2.0,-54.0,bmstu_staff
289,00:22:55:57:51:80,14.0,2.0,-55.0,bmstu_staff
298,00:22:55:57:51:80,14.0,2.0,-46.0,bmstu_staff
312,00:22:55:57:51:80,14.0,2.0,-68.0,bmstu_staff
327,d4:ca:6d:4c:eb:3d,9.0,2.0,-61.0,IU4-net
338,00:22:55:57:51:80,14.0,2.0,-57.0,bmstu_staff
349,00:22:55:57:51:80,14.0,2.0,-52.0,bmstu_staff
362,00:22:55:57:51:80,14.0,2.0,-57.0,bmstu_staff
513,50:17:ff:df:70:49,11.0,2.0,-49.0,bmstu_guest
542,50:17:ff:df:70:46,11.0,2.0,-55.0,bmstu_guest
570,c0:25:5c:82:67:fe,11.0,2.0,-58.0,bmstu_staff
600,c0:25:5c:82:67:f9,11.0,2.0,-51.0,bmstu_guest
632,c0:25:5c:82:67:f9,11.0,2.0,-51.0,bmstu_guest
664,58:d9:d5:b8:76:01,6.0,2.0,-59.0,
692,58:d9:d5:b8:76:01,6.0,2.0,-59.0,
721,84:80:2d:ec:31:e0,6.0,2.0,-77.0,BaumanPress
734,84:80:2d:ec:31:e1,6.0,2.0,-78.0,BP-Sec
